Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
2003,17,027400,017,0220,999,99999, ,62612      ,2,3,12,,Ashland village,6,6,737509,0,0,0,0,0,0,0,0,0,6,6,737509,0,0,0,0,0,0,0,0,0
2003,17,027700,189,0225,999,99999, ,62808      ,2,3,12,,Ashley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,028600,029,0230,999,99999, ,61912      ,2,3,12,,Ashmore village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,029200,103,0235,999,99999, ,61006      ,2,3,0,,Ashton village,1,1,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,029500,021,0240,999,99999, ,625100106  ,2,3,12,,Assumption,1,1,66000,0,0,0,0,0,0,0,0,0,1,1,66000,0,0,0,0,0,0,0,0,0
2003,17,030400,057,0245,999,99999, ,61501      ,2,3,12,,Astoria village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,030700,129,0250,999,44100, ,62613      ,2,3,12,,Athens,15,15,1699000,0,0,0,0,0,0,0,0,0,15,15,1699000,0,0,0,0,0,0,0,0,0
2003,17,031300,073,0255,999,19340, ,61235      ,2,3,12,,Atkinson town,2,2,231000,0,0,0,0,0,0,0,0,0,2,2,231000,0,0,0,0,0,0,0,0,0
2003,17,031900,107,0260,999,99999, ,61723      ,2,3,12,,Atlanta,9,9,1064600,1,2,100000,0,0,0,0,0,0,9,9,1064600,1,2,100000,0,0,0,0,0,0
2003,17,033100,147,0265,999,16580, ,619130319  ,2,3,12,,Atwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,033400,167,0270,999,44100, ,62615      ,2,3,12,,Auburn,24,24,2933000,0,0,0,0,0,0,0,0,0,24,24,2933000,0,0,0,0,0,0,0,0,0
2003,17,035500,089,0280,176,16980,1,60504      ,2,3,12,,Aurora,836,836,89352772,0,0,0,40,159,13618524,76,564,45656390,836,836,89352772,0,0,0,40,159,13618524,76,564,45656390
2003,17,037300,027,0290,476,41180, ,62216      ,2,3,2,,Aviston village,21,21,2840194,0,0,0,0,0,0,0,0,0,4,4,240000,0,0,0,0,0,0,0,0,0
2003,17,038200,057,0295,999,99999, ,61415      ,2,3,0,,Avon village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,039700,157,0300,999,99999, ,622171008  ,2,3,0,,Baldwin village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,041200,097,0310,176,16980, ,60015      ,2,3,12,,Bannockburn village,5,5,2335989,0,0,0,0,0,0,0,0,0,5,5,2335989,0,0,0,0,0,0,0,0,0
2003,17,043000,031,0323,176,16980, ,60010      ,2,3,12,,Barrington Hills village,27,27,24201323,0,0,0,0,0,0,0,0,0,27,27,24201323,0,0,0,0,0,0,0,0,0
2003,17,044500,031,0320,176,16980, ,60010      ,2,3,12,,Barrington village,13,13,4615000,0,0,0,0,0,0,0,0,0,13,13,4615000,0,0,0,0,0,0,0,0,0
2003,17,045100,149,0330,999,99999, ,62312      ,2,3,12,,Barry,2,2,172000,0,0,0,0,0,0,0,0,0,2,2,172000,0,0,0,0,0,0,0,0,0
2003,17,046300,043,0340,176,16980, ,60103      ,2,3,12,,Bartlett village,133,133,26360345,0,0,0,0,0,0,1,24,1999992,133,133,26360345,0,0,0,0,0,0,1,24,1999992
2003,17,046900,143,0345,426,37900, ,61607      ,2,3,12,,Bartonville village,13,13,1500000,0,0,0,0,0,0,0,0,0,13,13,1500000,0,0,0,0,0,0,0,0,0
2003,17,047800,089,0355,176,16980, ,60510      ,2,3,12,,Batavia,189,189,44149793,2,4,600000,0,0,0,0,0,0,189,189,44149793,2,4,600000,0,0,0,0,0,0
2003,17,049000,125,0365,999,99999, ,62617      ,2,3,0,,Bath village,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,049300,203,0367,426,37900, ,61611      ,2,3,0,,Bay View Gardens village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,049900,097,0368,176,16980, ,60099      ,2,3,12,,Beach Park village,392,392,48488150,0,0,0,0,0,0,0,0,0,392,392,48488150,0,0,0,0,0,0,0,0,0
2003,17,051100,017,0375,999,99999, ,62618      ,2,3,12,,Beardstown,1,1,25000,0,0,0,0,0,0,0,0,0,1,1,25000,0,0,0,0,0,0,0,0,0
2003,17,052900,075,0380,999,99999, ,60912      ,2,3,12,,Beaverville village,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2003,17,053200,027,0385,476,41180, ,62219      ,2,3,12,,Beckemeyer village,0,0,0,0,0,0,2,8,450000,0,0,0,0,0,0,0,0,0,2,8,450000,0,0,0
2003,17,053500,031,0390,176,16980, ,60501      ,2,3,12,,Bedford Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,054400,197,0395,176,16980, ,60401      ,2,3,0,,Beecher village,55,55,5142064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,054700,183,0405,999,19180, ,61883      ,2,3,12,,Belgium village,1,1,94000,0,0,0,0,0,0,0,0,0,1,1,94000,0,0,0,0,0,0,0,0,0
2003,17,056500,163,0430,476,41180,1,62220      ,2,3,12,,Belleville,130,130,15390305,0,0,0,0,0,0,0,0,0,130,130,15390305,0,0,0,0,0,0,0,0,0
2003,17,057100,143,0435,426,37900, ,61604      ,2,3,0,,Bellevue village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,057700,113,0437,999,14060, ,61724      ,2,3,0,,Bellflower village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,058300,031,0445,176,16980, ,60104      ,2,3,12,,Bellwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,058900,007,0450,466,40420, ,61008      ,2,3,12,,Belvidere,171,171,25091697,0,0,0,6,23,1355000,1,8,397766,171,171,25091697,0,0,0,6,23,1355000,1,8,397766
2003,17,059800,147,0455,999,16580, ,61813      ,2,3,12,,Bement village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,060100,117,0460,476,41180, ,620091427  ,2,3,0,,Benld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,061000,043,0465,176,16980, ,60106      ,2,3,12,,Bensenville village,26,26,7230000,0,0,0,2,8,1360000,0,0,0,26,26,7230000,0,0,0,2,8,1360000,0,0,0
2003,17,061300,203,0470,426,37900, ,61516      ,2,3,12,,Benson village,4,4,313000,0,0,0,0,0,0,0,0,0,4,4,313000,0,0,0,0,0,0,0,0,0
2003,17,061900,055,0480,999,99999, ,62812      ,2,3,12,,Benton,10,10,381000,0,0,0,0,0,0,1,28,850000,10,10,381000,0,0,0,0,0,0,1,28,850000
2003,17,062800,031,0485,176,16980, ,60163      ,2,3,11,,Berkeley village,4,4,545483,0,0,0,0,0,0,0,0,0,3,3,512150,0,0,0,0,0,0,0,0,0
2003,17,064900,031,0495,176,16980, ,60402      ,2,3,0,,Berwyn,2,2,248332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,065500,119,0500,476,41180, ,62010      ,2,3,12,,Bethalto village,26,26,3594251,0,0,0,0,0,0,1,8,320000,26,26,3594251,0,0,0,0,0,0,1,8,320000
2003,17,065800,139,0505,999,99999, ,619140352  ,2,3,12,,Bethany village,2,2,245836,0,0,0,0,0,0,0,0,0,2,2,245836,0,0,0,0,0,0,0,0,0
2003,17,068500,071,0510,999,99999, ,61418      ,2,3,12,,Biggsville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,070000,073,0525,999,19340, ,61419      ,2,3,12,,Bishop Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,073000,043,0535,176,16980, ,601081487  ,2,3,12,,Bloomingdale village,61,61,24354300,0,0,0,0,0,0,0,0,0,61,61,24354300,0,0,0,0,0,0,0,0,0
2003,17,073300,113,0540,999,14060,1,61701      ,2,3,12,,Bloomington,441,441,57910732,1,2,120000,5,20,1265000,29,398,19866864,441,441,57910732,1,2,120000,5,20,1265000,29,398,19866864
2003,17,074500,031,0545,176,16980, ,60406      ,2,3,12,,Blue Island,27,27,2315000,0,0,0,0,0,0,0,0,0,27,27,2315000,0,0,0,0,0,0,0,0,0
2003,17,075400,115,0550,999,19500, ,62513      ,2,3,12,,Blue Mound village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,076600,171,0555,999,99999, ,626210260  ,2,3,0,,Bluffs village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,076900,081,0560,999,99999, ,62814      ,2,3,0,,Bluford village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,077800,197,0563,176,16980, ,60440      ,2,3,12,,Bolingbrook village,1108,1108,143494337,0,0,0,0,0,0,0,0,0,1108,1108,143494337,0,0,0,0,0,0,0,0,0
2003,17,078400,005,    ,476,41180, ,62246      ,2,3,12,,Bond County Unincorporated Area,64,64,9494000,0,0,0,0,0,0,0,0,0,64,64,9494000,0,0,0,0,0,0,0,0,0
2003,17,079000,019,0564,999,16580, ,61815      ,2,3,12,,Bondville village,1,1,180000,0,0,0,0,0,0,0,0,0,1,1,180000,0,0,0,0,0,0,0,0,0
2003,17,079600,091,0570,176,28100, ,60913      ,2,3,12,,Bonfield village,2,2,392500,0,0,0,0,0,0,0,0,0,2,2,392500,0,0,0,0,0,0,0,0,0
2003,17,079900,081,0575,999,99999, ,628160117  ,2,3,12,,Bonnie village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,080800,007,    ,466,40420, ,61008      ,2,3,12,,Boone County Unincorporated Area,166,166,28218146,0,0,0,0,0,0,0,0,0,166,166,28218146,0,0,0,0,0,0,0,0,0
2003,17,082000,091,0580,176,28100, ,60914      ,2,3,12,,Bourbonnais village,156,156,20117400,0,0,0,0,0,0,0,0,0,156,156,20117400,0,0,0,0,0,0,0,0,0
2003,17,085600,091,0600,176,28100, ,60915      ,2,3,12,,Bradley village,67,67,8278500,0,0,0,9,36,2016000,3,18,1080000,67,67,8278500,0,0,0,9,36,2016000,3,18,1080000
2003,17,085900,197,0605,176,16980, ,60408      ,2,3,12,,Braidwood,54,54,7260800,0,0,0,5,16,1125680,0,0,0,54,54,7260800,0,0,0,5,16,1125680,0,0,0
2003,17,086200,027,0610,476,41180, ,62230      ,2,3,12,,Breese,34,34,4360000,0,0,0,0,0,0,0,0,0,34,34,4360000,0,0,0,0,0,0,0,0,0
2003,17,088000,031,0620,176,16980, ,60455      ,2,3,12,,Bridgeview village,32,32,4634800,0,0,0,0,0,0,0,0,0,32,32,4634800,0,0,0,0,0,0,0,0,0
2003,17,088900,117,0625,476,41180, ,62012      ,2,3,12,,Brighton village,10,10,1390000,0,0,0,0,0,0,0,0,0,10,10,1390000,0,0,0,0,0,0,0,0,0
2003,17,089500,143,0630,426,37900, ,61517      ,2,3,12,,Brimfield village,1,1,110000,0,0,0,0,0,0,0,0,0,1,1,110000,0,0,0,0,0,0,0,0,0
2003,17,090100,019,0635,999,16580, ,61816      ,2,3,12,,Broadlands village,2,2,100000,0,0,0,0,0,0,0,0,0,2,2,100000,0,0,0,0,0,0,0,0,0
2003,17,090400,031,0640,176,16980, ,601553800  ,2,3,12,,Broadview village,1,1,130000,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
2003,17,091000,107,0645,999,99999, ,62634      ,2,3,0,,Broadwell village,1,1,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,091300,045,0650,999,99999, ,61917      ,2,3,0,,Brocton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,091900,031,0655,176,16980, ,60513      ,2,3,12,,Brookfield village,6,6,940000,0,0,0,0,0,0,0,0,0,6,6,940000,0,0,0,0,0,0,0,0,0
2003,17,093100,127,0665,999,99999, ,629100508  ,2,3,12,,Brookport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,100000,091,0700,176,28100, ,60917      ,2,3,12,,Buckingham village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,100300,075,0705,999,99999, ,60918      ,2,3,12,,Buckley village,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
2003,17,101800,097,0725,176,16980, ,60089      ,2,3,12,,Buffalo Grove village,17,17,2461267,0,0,0,0,0,0,0,0,0,17,17,2461267,0,0,0,0,0,0,0,0,0
2003,17,103000,167,0720,999,44100, ,62515      ,2,3,12,,Buffalo village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,103300,111,0729,176,16980, ,60098      ,2,3,12,,Bull Valley village,4,4,1725000,0,0,0,0,0,0,0,0,0,4,4,1725000,0,0,0,0,0,0,0,0,0
2003,17,103600,021,0730,999,99999, ,62517      ,2,3,0,,Bulpitt village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,104800,031,0743,176,16980, ,60459      ,2,3,3,,Burbank,78,78,9876600,0,0,0,0,0,0,0,0,0,13,13,1905000,0,0,0,0,0,0,0,0,0
2003,17,105100,011,    ,999,99999, ,61356      ,2,3,12,,Bureau County Unincorporated Area,35,35,4832830,1,2,155000,0,0,0,0,0,0,35,35,4832830,1,2,155000,0,0,0,0,0,0
2003,17,106900,031,0755,176,16980, ,60633      ,2,3,0,,Burnham village,9,9,797769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,108400,043,0759,176,16980, ,60521      ,2,3,12,,Burr Ridge village,40,40,28643400,0,0,0,0,0,0,0,0,0,40,40,28643400,0,0,0,0,0,0,0,0,0
2003,17,111700,141,0775,688,99999, ,610100916  ,2,3,12,,Byron,35,35,2844920,10,20,1250000,4,16,720000,0,0,0,35,35,2844920,10,20,1250000,4,16,720000,0,0,0
2003,17,113200,163,0785,476,41180, ,62206      ,2,3,12,,Cahokia village,7,7,773560,0,0,0,0,0,0,0,0,0,7,7,773560,0,0,0,0,0,0,0,0,0
2003,17,113500,003,0790,999,99999, ,62914      ,2,3,12,,Cairo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,114100,013,    ,476,41180, ,62047      ,2,3,0,,Calhoun County,33,33,3839306,1,2,146976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,114700,031,0800,176,16980, ,60409      ,2,3,11,,Calumet City,24,24,1570000,0,0,0,0,0,0,1,8,691158,21,21,1297000,0,0,0,0,0,0,0,0,0
2003,17,115000,031,0805,176,16980, ,60827      ,2,3,12,,Calumet Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,115900,041,0810,999,99999, ,61919      ,2,3,12,,Camargo village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,116200,199,0815,999,99999, ,629150218  ,2,3,12,,Cambria village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,116800,073,0820,999,19340, ,61238      ,2,3,12,,Cambridge village,1,1,170000,0,0,0,0,0,0,0,0,0,1,1,170000,0,0,0,0,0,0,0,0,0
2003,17,118000,001,0835,999,99999, ,62320      ,2,3,12,,Camp Point village,3,3,368755,0,0,0,0,0,0,0,0,0,3,3,368755,0,0,0,0,0,0,0,0,0
2003,17,118300,077,0830,999,99999, ,62916      ,2,3,12,,Campbell Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,119800,057,0845,999,99999, ,61520      ,2,3,12,,Canton,15,15,1421850,0,0,0,0,0,0,0,0,0,15,15,1421850,0,0,0,0,0,0,0,0,0
2003,17,121000,007,0855,466,40420, ,61012      ,2,3,0,,Capron village,32,32,2289231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121300,161,0860,999,19340, ,61239      ,2,3,0,,Carbon Cliff village,3,3,371000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121600,063,0870,176,16980, ,60416      ,2,3,3,,Carbon Hill village,2,2,303096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,121900,077,0865,999,99999, ,62902      ,2,3,12,,Carbondale,16,16,2340240,2,4,193000,4,16,509250,6,117,3047680,16,16,2340240,2,4,193000,4,16,509250,6,117,3047680
2003,17,123100,113,0876,999,14060, ,61725      ,2,3,12,,Carlock village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,123400,027,0880,476,41180, ,62231      ,2,3,12,,Carlyle,5,5,777500,1,2,170000,0,0,0,2,16,500000,5,5,777500,1,2,170000,0,0,0,2,16,500000
2003,17,124900,043,0890,176,16980, ,60188      ,2,3,12,,Carol Stream village,98,98,13728064,0,0,0,0,0,0,0,0,0,98,98,13728064,0,0,0,0,0,0,0,0,0
2003,17,125200,089,0895,176,16980, ,60110      ,2,3,12,,Carpentersville village,360,360,90000000,0,0,0,0,0,0,0,0,0,360,360,90000000,0,0,0,0,0,0,0,0,0
2003,17,126400,015,    ,999,99999, ,61053      ,2,3,12,,Carroll County Unincorporated Area,61,61,9839922,0,0,0,0,0,0,0,0,0,61,61,9839922,0,0,0,0,0,0,0,0,0
2003,17,127000,061,0905,999,99999, ,62016      ,2,3,12,,Carrollton,5,5,744000,0,0,0,0,0,0,0,0,0,5,5,744000,0,0,0,0,0,0,0,0,0
2003,17,127900,199,0910,999,99999, ,62918      ,2,3,12,,Carterville,29,29,3282335,6,12,526000,0,0,0,5,60,2000000,29,29,3282335,6,12,526000,0,0,0,5,60,2000000
2003,17,128200,067,0915,999,99999, ,62321      ,2,3,12,,Carthage,3,3,254000,0,0,0,0,0,0,0,0,0,3,3,254000,0,0,0,0,0,0,0,0,0
2003,17,129100,111,0920,176,16980, ,60013      ,2,3,12,,Cary village,214,214,38891212,0,0,0,0,0,0,0,0,0,214,214,38891212,0,0,0,0,0,0,0,0,0
2003,17,130600,163,0930,476,41180, ,62232      ,2,3,12,,Caseyville village,7,7,603200,0,0,0,0,0,0,0,0,0,7,7,603200,0,0,0,0,0,0,0,0,0
2003,17,131200,017,    ,999,99999, ,62691      ,2,3,12,,Cass County Unincorporated Area,8,8,640000,0,0,0,0,0,0,0,0,0,8,8,640000,0,0,0,0,0,0,0,0,0
2003,17,132100,183,0935,999,19180, ,61817      ,2,3,12,,Catlin village,4,4,384948,2,4,225000,0,0,0,0,0,0,4,4,384948,2,4,225000,0,0,0,0,0,0
2003,17,132700,069,0940,999,99999, ,62919      ,2,3,12,,Cave-In-Rock village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,133300,099,0945,999,99999, ,61316      ,2,3,0,,Cedar Point village,2,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,133900,177,0950,999,99999, ,61013      ,2,3,12,,Cedarville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,135100,121,0965,999,99999, ,62801      ,2,3,12,,Centralia,12,12,1694000,0,0,0,0,0,0,3,48,3500000,12,12,1694000,0,0,0,0,0,0,3,48,3500000
2003,17,135700,163,0975,476,41180, ,62207      ,2,3,12,,Centreville,2,2,110000,0,0,0,0,0,0,0,0,0,2,2,110000,0,0,0,0,0,0,0,0,0
2003,17,136600,147,0980,999,16580, ,61818      ,2,3,12,,Cerro Gordo village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,137800,019,0990,999,16580,1,61820      ,2,3,12,,Champaign,187,187,32528314,0,0,0,0,0,0,8,218,21598800,187,187,32528314,0,0,0,0,0,0,8,218,21598800
2003,17,138400,019,    ,999,16580, ,61803      ,2,3,12,,Champaign County Part Unincorporated Area,209,209,44451993,3,6,600000,0,0,0,0,0,0,209,209,44451993,3,6,600000,0,0,0,0,0,0
2003,17,139300,017,0995,999,99999, ,626279999  ,2,3,12,,Chandlerville village,3,3,265000,0,0,0,0,0,0,0,0,0,3,3,265000,0,0,0,0,0,0,0,0,0
